"","Notes","BirdID","Phase","CollYear","CollMonth","CollDay","Sex","Age","WeightNE","DigestivTrLength..SI.LI.2xceca.","Gut...rectum..SI.","Caecum","ceca.weight","ceca.Gut.length","SI.weight","SeqRun","richness","shannon","simp.even"
"158","2","LM-09-001","early",2009,10,1,"F","J",479.67,182,NA,41,8.55,22.53,NA,1,272,3.81559041246976,0.0971784829174518
"159","1","LM-09-009","early",2009,10,1,"M","J",565.4,193,NA,41,7.25,21.24,NA,1,270,3.94818429783687,0.11872939884716
"160","2","LM-09-010","early",2009,10,1,"M","J",524.13,181,NA,42,8.01,23.2,NA,1,236,3.6361398455263,0.0969447287842651
"161","3","LM-09-034","early",2009,10,4,"F","J",452.14,190,NA,43,9.51,22.63,NA,1,262,4.09434342034147,0.149514742537593
"162","2","LM-09-045","early",2009,10,2,"F","J",482.96,196,NA,45,9.32,22.96,NA,1,254,3.98829878017121,0.129477433293902
"163","1","LM-09-077","early",2009,10,4,"M","A",538.43,196,NA,47,8.73,23.98,NA,1,259,2.84001937082453,0.0186056986217407
"164","3","LM-09-071","early",2009,10,3,"F","J",491.29,192,NA,45,9.16,23.44,NA,1,241,3.66607131912034,0.0918434500932743
"165","1","LM-09-078","early",2009,10,4,"M","A",536.9,179,NA,37,6.89,20.67,NA,1,279,3.90054705662839,0.0973211651546421
"166","2","LM-09-073","early",2009,10,3,"M","J",522.08,186,NA,42,8.04,22.58,NA,1,235,3.51826956072115,0.061769785393305
"167","3","LM-09-012","early",2009,10,1,"M","J",507.41,199,NA,48,9.46,24.12,NA,1,266,3.89285051372184,0.110434625856268
"168",NA,"LM-10-134","early",2010,10,2,"M","J",468.19,198,93,46,9.83,23.23,19.86373054,1,274,3.7190593795197,0.0725865325182782
"170","3","LM-09-011","early",2009,10,1,"M","J",521.94,180,NA,39,7.47,21.67,NA,1,276,3.99626827587038,0.118960197173719
"171","3","LM-09-104","early",2009,10,2,"F","J",537.59,204,NA,45,8.37,22.06,NA,1,248,3.90939274900141,0.109417785937383
"172","3","LM-09-103","early",2009,10,2,"M","A",510.35,181,NA,38,7.45,20.99,NA,1,254,3.77937348405453,0.104275904313226
"173","1","LM-09-004","early",2009,10,1,"F","J",483.03,200,NA,48,9.94,24,NA,1,279,3.51498373444688,0.0539621873801221
"174","1","LM-09-039","early",2009,10,6,"M","A",539.8,173,NA,40,7.41,23.12,NA,1,274,3.80237878632745,0.0863716464390002
"175","1","LM-09-005","early",2009,10,1,"F","J",476.38,189,NA,42,8.82,22.22,NA,1,254,3.81639121504524,0.0932014797976521
"176","1","LM-09-008","early",2009,10,1,"M","J",506.24,186,NA,40,7.9,21.51,NA,1,256,3.59438629984164,0.0658772965308131
"177","2","LM-09-048","early",2009,10,2,"M","J",512.8,178,NA,41,8,23.03,NA,1,245,3.50258570133297,0.0640696397749133
"178","1","LM-09-051","early",2009,10,3,"F","J",415.68,189,NA,42,10.1,22.22,NA,1,280,3.50161399883635,0.061953121035378
"179","2","LM-09-052","early",2009,10,3,"M","J",541.75,177,NA,41,7.57,23.16,NA,1,260,3.95006373539161,0.124179207009094
"180","3","LM-09-092","early",2009,10,3,"F","J",442.59,199,NA,47,10.62,23.62,NA,1,218,3.47395145865666,0.0804527558471662
"181","1","LM-10-032","early",2010,10,2,"F","A",503.3,183,92,40,7.95,21.86,18.27935625,1,279,3.56470243456083,0.0684375461134741
"182","1","LM-10-324","early",2010,10,6,"F","J",429.93,164,83,35,8.14,21.34,19.30546833,1,293,3.72500697198984,0.0745877403798176
"183","1","LM-10-013","early",2010,10,1,"F","A",523.5,195,88,47,8.98,24.1,16.80993314,1,275,3.86989268847411,0.0970732558466349
"184","1","LM-10-208","early",2010,10,4,"F","A",477.93,165,85,34,7.11,20.61,17.78503128,1,301,3.63779566066695,0.0539392915532934
"185","1","LM-10-229","early",2010,10,5,"F","J",465.58,177,86,40,8.59,22.6,18.47158383,1,227,3.23953256921143,0.0478275703377508
"186","1","LM-10-097","early",2010,10,3,"M","J",491.1,190,92,43,8.76,22.63,18.73345551,1,269,3.67217434247878,0.0701378561180103
"187","1","LM-10-292","early",2010,10,6,"M","A",501.47,179,93,37,7.38,20.67,18.5454763,1,256,2.99744316289174,0.0271687940559271
"188","1","LM-10-048","early",2010,10,3,"M","J",486.73,187,90,43,8.83,22.99,18.49074436,1,224,3.6845249179459,0.0903118503879393
"189","1","LM-10-285","early",2010,10,5,"M","A",490,169,84,37,7.55,21.89,17.14285714,1,270,3.65708343351662,0.0681360685095893
"190","1","LM-10-243","early",2010,10,4,"M","A",490.05,145,75,30,6.12,20.69,15.30456076,1,236,3.4382501979921,0.0530058486132798
"192","1","LM-10-107","early",2010,10,2,"F","J",470.26,188,95,41,8.72,21.81,20.20159061,1,255,3.7739673233229,0.0973541401164279
"193",NA,"LM-10-274","early",2010,10,6,"F","A",468,180,85,41,8.76,22.78,18.16239316,1,245,3.68376320752733,0.0679990764004278
"195","1","LM-10-085","early",2010,10,2,"F","A",475.2,172,85,37,7.79,21.51,17.88720539,1,264,3.52587392185362,0.0441602246019253
"196","1","LM-18-061","early",2018,10,6,"F","A",452,178.5,83.5,42,9.29,23.53,18.47345133,6,258,3.91637045967311,0.106600841359942
"197","1","LM-18-069","early",2018,10,10,"M","J",549.35,187,82.5,46,8.37,24.6,15.01774825,6,254,3.97878022681895,0.127526894908938
"198","1","LM-10-058","early",2010,10,6,"M","J",493.25,185,89,43,8.72,23.24,18.04358844,2,272,3.69365602871798,0.0651086493764401
"199","1","LM-10-023","early",2010,10,1,"M","J",534.97,202,103,43,8.04,21.29,19.25341608,1,237,3.66379990097354,0.0803802100865224
"201","3","LM-10-220","early",2010,10,4,"F","J",392.93,194,90,46,11.71,23.71,22.9048431,1,260,3.76138232912494,0.0812484958037262
"202","1","LM-10-066","early",2010,10,3,"M","A",551.19,173,90,35,6.35,20.23,16.32830784,1,259,3.96254284764363,0.111761544892828
"203","2","LM-10-202","early",2010,10,3,"M","J",472,179,97,35,7.42,19.55,20.55084746,1,273,3.81135845203964,0.0810275187969256
"204",NA,"LM-10-011","early",2010,10,1,"M","J",511.94,190,95,42,8.2,22.11,18.55686213,2,258,3.77629123325553,0.103152639105243
"206","1","LM-10-306","early",2010,10,6,"F","J",489.68,189,104,36,7.35,19.05,21.23835975,2,273,3.45780069110788,0.0591350509283876
"207","1","LM-10-207","early",2010,10,3,"M","A",560,172,83,39,6.96,22.67,14.82142857,2,249,3.53623819475476,0.0609674236051984
"208","1","LM-10-251","early",2010,10,5,"F","J",472.51,188,94,42,8.89,22.34,19.89375886,2,158,1.95309976831156,0.0177676242639579
