BirdID,Wing_mm,Head_mm,SternL_mm,BodySize,GizzardEmptyFFDM,TotalFat,LDBM,Oxalat,OxalatIntens
LM-12-199,189,51.78,85.88,-0.992159985,4.1,8.97512018,117.6389044,0,
LM-12-200,187,53.68,82.92,-1.108622224,3.94,9.08575916,115.0381224,1,3
LM-12-213,195,53.9,90.21,1.218116237,3.47,6.7669802,124.7722236,0,
LM-12-217,202,55.12,85.69,1.339791463,3.97,13.30320918,133.6301436,0,
LM-12-221,198,53.02,81.26,-0.70428921,3.54,9.35040609,110.2935392,1,3
LM-12-222,183,54.32,83.38,-1.141793784,3.75,8.17915406,127.118764,0,
LM-12-374,203,54.07,86.24,1.167135254,4,6.75850904,129.377402,1,3
LM-12-375,207,55.99,88.21,2.630899072,3.72,8.24642407,133.6109384,1,3
LM-12-383,195,53.69,85.25,0.103084873,3.86,8.67412242,120.3327544,1,2
LM-12-394,200,54.91,85.11,0.96270932,4.54,11.28556044,126.9104648,1,1
LM-12-398,198,55.12,85.24,0.885577821,4.21,10.079719,127.6363568,1,1
LM-12-401,192,54.31,84.94,-0.008674158,4.11,11.12127542,123.7152692,1,3
LM-12-403,192,51.83,82.06,-1.504779553,4.09,7.01098502,117.3636828,1,3
LM-12-410,187,50.3,81.16,-2.693922735,3.8,8.05078002,100.5493424,1,2
LM-13-001,186,51.66,84.06,-1.686691317,3.56,5.14950202,110.3319496,0,
LM-13-006,189,49.94,81.1,-2.656106572,3.78,7.83447893,115.1606884,0,
LM-13-007,188,52.59,85.42,-0.887018788,4.01,6.61937359,122.8818752,1,2
LM-13-008,197,53.94,85.36,0.396066533,3.8,7.10468168,119.802108,1,1
LM-13-009,201,52.24,88.39,0.779132743,4.14,9.69176287,137.9195208,0,
LM-13-011,195,52.99,81.91,-0.848799033,4.45,7.78105332,111.2881068,0,
LM-13-015,198,52.53,87.66,0.460588514,4.05,7.94551428,123.621018,0,
LM-13-016,207,56.17,89.33,2.930396145,4.33,6.14482691,143.5984924,1,1
LM-13-017,202,54.18,86.65,1.20266962,4.34,7.17124692,126.9665028,0,
LM-13-021,190,52.96,82.88,-1.106201661,4.29,8.40051999,120.104264,0,
LM-13-022,202,53.64,85.48,0.763130135,3.33,7.56965606,132.8811024,1,1
LM-13-024,198,54.35,86.42,0.855743748,4.11,6.73738259,122.4771472,0,
LM-13-025,206,56.51,88.46,2.78046179,3.3,7.39720828,136.2174776,0,
LM-13-028,200,54.55,88.92,1.631595532,3.64,6.75043425,129.2835452,0,
LM-13-029,192,52.48,83.19,-1.034033728,3.51,4.65730825,118.0895748,0,
